Review	Relabel
그냥 딱 정핏 이에요 원하던 핏 나와서 너무 좋아요 	1
모카베이지라 그냥 베이지보다 묵직한 느낌이에요	1
저번에 제주니트 샀을 때 핏이 너무 좋아서 검은색도 샀는데 엘무드 역시 좋네요	1
올해 제품이 별로다 ㄴㄴㄴ작년 거가 오진다 에 하비인데요 작년 거 살 때 사이즈표 보면서 길이가 다 사이즈에 비해 짧길래 그냥 엄청 크게 샀었거든요 로 근데 이번 것도 그럴 줄 알고 사이즈표 안 보고  했더니 너무 크고 길어요 질은 올해 거가 더 좋은데 핏은 작년 못 이김  밖에 안 남았길래 그냥 이거 샀는데 그거라도 살 걸 아쉽  질은 진짜 좋음 있는 바지 중에 젤 좋음	0
막 별로는 아닌데 기대 이하였습니다 딱 점정도워낙 자자해서 구매했는데 재질 그냥그래요 받자마자 보풀이 꽤나 올라와있었구요 유튜브빨 잘받은 제품	0
아이보리색감 이쁘고 적당히 도톰한 두께도 좋다 핏이 넉넉해서 안에 뭘 입어도 편한느낌이고 작은키가 입기에 길이도 나름 적당한 느낌ㅋㅋ 허리끈을 묶을 수 있는것도 맘에듦	1
정말 싸게 살 수 있어서 좋았어요가성비 최고인듯	1
엘무드 화란 니트 좋아해서 작년에 깔별로 개 올해 개 샀는데똑같이 찬물 울세탁코스 돌렸는데 올해꺼는 수축률이 너무 심해서 애기 쫄티됨핏도그렇고 작년것이 모든게 다 나음	0
이신분들 길이감 참고하세요 그리고 좀 마르신 분들은 사이즈 하셔도 크실거예요	0
퀄리티 굉장히 좋아요제 체형에도 딱 맞게 예쁜 것 같아요	1
옷이 부드럽고 고급스러워 좋지만 보풀이 잘 일어나요	0
허리 끈을 안묶으면 좀 펑퍼짐하긴 한데 옷 자체는 예뻐요	1
색감도 너무 이쁘고 짜임도 너무 좋아요 할인할때 샀는데 야무지게 입는중입니다	1
좀 크네요 바꿀까하다가 그냥 입어요질은 진짜 좋아요	0
말도 안되는 가격이에요 실물이 훨씬 이뻐요 거기다 가벼워서 너무 좋아요	1
면이라 관리 하기 편하고 시보리가 쫀쫀해서 접어서 입기도 좋네요	1
요즘 트렌드인 세미 와이드 핏으로 실루엣 잘 빠져서 너무 예쁘고 캐주얼하게 입고 다니기 너무 좋아요 자주 입고 다니려구요	1
원래 오버핏으로 입는 걸 좋아하는데 일단 핏이 너무 이쁘고 다양한 스타일 연출 가능합니다울 도 높아서 너무 따뜻하구요다만 단추가 너무 쉽게 떨어졌어요 보통 코트들 사도 그렇기는 한데 번 입고 그랬네요 ㅠ	0
밑단시보리 더 탄탄 좋았을 그래도 좋습니다아앙	1
네이비 블레이져가 헤져서 구매했는데 너무 좋아요저렴하게 잘 구매했습니다	1
두꺼운데 면으로되어서 봄에 한장만 입고 다니기에도 좋아요	1
진짜 만족해요 다만 약간 윗부분이 짦아서 아쉽습니다	0
너무 좋아요 기본템 슬렉스로 추천드려요 추천이요	1
크기가 생각보다 크지만 넣어잎으면 되고 색이뻐요	1
옷 포장이 남이 반품한거 준것마냥 꾸깃꾸깃하고포장봉투한번 뜯은거 그대로 보냈는지 봉투접착력도 없네요 그리고 옷은 왜이렇게 구겨져있고 주름져있나요 옷품질말고 포장상태로 기분 팍 상한적은 처음이네요 새상품 보내는거 맞는지엘무드 첫구매인데 다시는 안살듯 하네요	0
전투용으로 최고입니다 하나더구입해서 돌려입는중	1
아주 멋스럽고 고급진 코트입니다 사길 정말 잘했네요	1
입뻐여 내가 갑부였으면 깔별로 샀을덧 이쁩니다 더바랄게 없어요 여기에 누울래요	1
두툼하고 오버사이즈에 원하던 핏이라 좋아요 다만 주머니가 없어서 살짝 아쉽네요 싼가격에 잘산거 같아요	0
기본 코트 살까 발마칸 코트 살까 고민했는데 발마칸 사길 잘 한 것 같아요 ㅎㅎ 확실히 캐주얼한 룩에도 잘 어울리는 것 같네요 ㅎㅎ	1
엘무드 니트가 하도 유명해서 사보고 싶었는데 유명한 이유가 확실히 있네요 생각보다 훨씬 보드랍고 어깨도 넓어보이는 효과가 있네요 밑단이 애매한거 말곤 최고에요	1
편해요 편하게 입기 좋아요 기장이 길어요핏도 괜찮은거 같아요	0
사이즈 때문에 엄청 고민하다가 크다는 후기가 많아서  구입했는데 만족입니다 키가 작은 편인데도 소매가 넉넉하게 내려오네요 총장은 그렇게 길지 않아서 아쉽지만  샀으면 너무 컸을 것 같아요 소재도 가벼워서 요즘 같이 더운 날씨에도 괜찮아요 티셔츠 앞 로고는 스티커라 ㅜ 세탁 많이 하면 지워질 것 같지만 티셔츠 사이드에 커버낫 로고가 따로 나와 있어서 나름 성의가 느껴지는 티셔츠 입니다 브랜드 티셔츠인데 두 장에 이 정도 가격과 퀄리티면 만족합니다	0
작지도 크지도 그 애매 합니다 ㅋㅋ 커서 사이즈 교체했는데 좀 작은거 같기도 하고일단 예뻐요	0
주변에서 토피를 추천해주길래 사봤는데 핏감도 좋고 종아리 허벅지쪽은 널널한데 허리가 조금 작게 나오는게 아쉽네요 사진은 옷 도착하고 바로 입어봤는데 기본템으로 좋은거 같아요참고로 저 사이즈입니다 교환과정에서 오류가있어서 로 되어있습니다 사이즈 참고해주세요	0
재질좋고 엳시 기본탬은 무탠다드가 최고입니다	1
아보카도 색상이 은근 코디하기도좋구 떨어지는 느낌이나 핏이 기본이라서괜찮았습니다  조금 큰 느낌은 있으니까참고하시면될거 같아요	1
사이즈가 조금 커서 아쉽지만 색감이랑 핏이 이뻐서 자주 입고 다닐거 같아요	0
키가 큰 편인데도 기장감이 애매하지 않고 길어서 이쁘게 딱 맞아요	1
